HET,count
GTX,2340
RRX,2329
TCY,2317
OXY,2317
SCA,2316
SLB,2316
STL,2313
PIA,2310
TPQ,2308
JOC,2300
UDX,2298
SPH,2292
COB,2287
PYB,2277
NXL,2276
AXT,2270
AAB,2262
GAI,2260
LEU,2257
MMO,2253
XTY,2240
CMO,2225
ORO,2219
LMR,2206
CHT,2205
FFO,2186
ACB,2185
MAA,2165
CCI,2151
TYC,2147
MGT,2143
OCA,2136
CVM,2125
SER,2104
BLB,2100
FPP,2087
AYA,2085
ALF,2085
CXM,2077
URI,2075
UIX,2068
LOC,2050
SRO,2045
MLC,2044
MND,2040
IAM,2040
FSC,2027
TCL,2023
AMU,2022
LWM,2014
ORP,2012
AZI,2010
ICS,2008
DUZ,1995
EPU,1980
VSZ,1976
GNS,1973
ALD,1964
DUT,1955
EST,1949
CMC,1946
CTG,1946
BEP,1938
ECH,1938
DQH,1938
IPE,1936
CRH,1932
BDF,1926
TRH,1925
ABU,1924
ZAB,1920
YOF,1910
CYS,1907
DCT,1907
OPC,1902
PKA,1890
TYQ,1887
DUR,1885
STI,1881
TFP,1876
HCS,1872
DAN,1869
HED,1862
PGA,1858
PGM,1850
NCZ,1848
OEX,1840
DTF,1840
TBR,1837
FGW,1837
GDS,1835
GTG,1820
FVA,1812
TUX,1810
SRA,1809
GPP,1801
MGR,1800
JNI,1794
PDO,1790
DBV,1788
BLR,1782
EDA,1775
ULW,1770
IAS,1766
EPJ,1765
HDE,1760
IWJ,1760
WAM,1760
EPZ,1760
SRT,1759
PHQ,1759
HZP,1739
DCL,1739
HBI,1739
FDP,1734
MFU,1731
ALA,1728
MOH,1728
PRF,1725
NPO,1721
MQC,1720
CGS,1712
WFP,1710
HTO,1709
GRG,1686
POL,1684
MDO,1683
NTH,1680
PBF,1655
YUY,1652
DST,1651
HSL,1646
AAR,1644
TEW,1643
TRQ,1640
FAR,1638
VRB,1625
THG,1622
MRI,1622
BGL,1606
RFP,1606
KAI,1601
SJO,1600
CWN,1600
FLN,1600
DPO,1596
INI,1596
ZIL,1596
DCM,1594
FPS,1591
EMD,1590
DAU,1584
FAG,1584
TMQ,1581
WAY,1581
ZWY,1577
NEP,1577
HIX,1575
CAR,1575
MRG,1574
ETA,1573
SFP,1569
RIT,1569
PGR,1569
MLK,1568
BES,1562
LTV,1561
COD,1561
XCS,1560
EVT,1560
SME,1559
XMP,1557
CIR,1544
HXC,1543
MYC,1542
PXZ,1540
TYK,1536
MED,1530
OAA,1527
IPT,1519
NCS,1512
DLP,1504
ZDC,1499
ACV,1498
GCS,1493
EQU,1490
API,1487
XAE,1480
STR,1475
HMG,1470
KYN,1470
SXA,1468
SAL,1467
FGO,1462
URA,1460
AZM,1457
CBY,1447
CAM,1443
PFF,1434
AZA,1433
IYR,1429
CLM,1424
GAO,1419
QRP,1413
JCV,1412
CEF,1410
DHT,1410
YYJ,1410
ICT,1404
RKL,1400
DDI,1400
FCO,1394
GUN,1391
MER,1379
EUJ,1377
STA,1376
ANW,1370
FON,1366
FDE,1365
